song_id,title,artist,genre,tempo,energy,danceability,valence,acousticness,popularity
S001,Velvet Ocean 1,Rose Harbor,Pop,118,0.74,0.23,0.93,0.69,89
S002,Light Motion 2,Rose Harbor,Electronic,163,0.49,0.89,0.65,0.74,56
S003,City Heart 3,Maya Blue,Classical,80,0.25,0.81,0.64,0.69,64
S004,Night Rhythm 4,DJ Horizon,Electronic,119,0.81,0.31,0.5,0.06,92
S005,Gravity Velvet 5,Midnight Echo,Classical,172,0.95,0.41,0.41,0.43,80
S006,City Motion 6,Midnight Echo,R&B,146,0.38,0.69,0.47,0.75,58
S007,Night Road 7,Silver Pulse,Electronic,155,0.83,0.46,0.35,0.62,87
S008,Moon Signal 8,Midnight Echo,Electronic,159,0.81,0.68,0.7,0.71,20
S009,Light Echo 9,Maya Blue,Classical,74,0.29,0.68,0.5,0.52,31
S010,Echo Summer 10,Rose Harbor,Pop,132,0.64,0.39,0.13,0.4,64
S011,Sky Ocean 11,Luna Park,Country,180,0.38,0.2,0.34,0.28,89
S012,Motion Echo 12,Kai Morgan,Jazz,126,0.72,0.48,0.79,0.17,83
S013,Motion Night 13,Ava Stone,Hip-Hop,155,0.56,0.28,0.53,0.15,78
S014,City Ocean 14,Silver Pulse,Jazz,88,0.44,0.65,0.41,0.1,50
S015,Road Rhythm 15,Neon Rivers,Hip-Hop,110,0.75,0.36,0.92,0.71,93
S016,River Ocean 16,Silver Pulse,Hip-Hop,151,0.28,0.87,0.49,0.2,42
S017,Moon Echo 17,The Velvet Keys,Electronic,130,0.87,0.76,0.71,0.4,34
S018,Motion Echo 18,Kai Morgan,Hip-Hop,80,0.27,0.48,0.14,0.45,72
S019,Velvet Motion 19,The Velvet Keys,Rock,145,0.66,0.29,0.89,0.53,28
S020,Summer Echo 20,DJ Horizon,Jazz,102,0.95,0.54,0.77,0.09,21
S021,Velvet City 21,Northline,Hip-Hop,118,0.65,0.53,0.33,0.31,95
S022,Moon Ocean 22,Northline,Classical,101,0.84,0.87,0.22,0.51,21
S023,Velvet Velvet 23,Neon Rivers,Hip-Hop,83,0.71,0.73,0.75,0.11,42
S024,Rhythm Heart 24,Nova Beats,Classical,96,0.63,0.45,0.81,0.73,23
S025,Heart Rhythm 25,The Velvet Keys,Country,140,0.6,0.35,0.9,0.16,43
S026,Sky Ocean 26,Ava Stone,Classical,177,0.9,0.75,0.86,0.81,100
S027,City Road 27,Northline,Pop,72,0.72,0.45,0.18,0.68,82
S028,Dream Memory 28,Luna Park,Jazz,175,0.3,0.81,0.23,0.18,39
